org_name,org_description,technology,topics,official_link,gsoc_link
Ste||ar group,Shaping a Scalable Future,"c++, hpc","library, optimization, parallel algorithms, hpx, application",http://stellar-group.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/stear-group
MIT App Inventor,Anyone can build apps with global impact.,"javascript, java, gwt, swift","education, development tools, android, ios",http://appinventor.mit.edu,https://summerofcode.withgoogle.com/programs/2023/organizations/mit-app-inventor
OpenStreetMap,Create and distribute free geodata for the world,"python, javascript, java, c++, sql","databases, routing, gis, ui, geocoding",https://www.openstreetmap.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/openstreetmap
Sugar Labs,Learning software for children,"python, gtk, typescript, javascipt","education, games, desktop",https://sugarlabs.org,https://summerofcode.withgoogle.com/programs/2023/organizations/sugar-labs
CircuitVerse.org,Build and learn logic circuits in the cloud!,"javascript, rails, canvas","education, web, simulation, pedagogy, digital logic design",http://circuitverse.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/circuitverseorg
Mathesar,Webapp providing a UX-first interface to databases,"python, postgresql, javascript, django, svelte","databases, web, data, nonprofit, self-hosted",https://mathesar.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/mathesar
ScummVM,Adventure and RPG preservation project,"opengl, lua, c++, assembly, sdl","games, game engines, software preservation, software archeology",https://www.scummvm.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/scummvm
CNCF,Building sustainable ecosystems for cloud native,"prometheus, kubernetes, OpenTelemetry, envoy","cloud, cloud native, observability",https://cncf.io,https://summerofcode.withgoogle.com/programs/2023/organizations/cncf
GnuTLS,C library implementing TLS and DTLS,"c, Cryptography, TLS","security, cryptography, TLS, DTLS",https://gitlab.com/gnutls/gnutls,https://summerofcode.withgoogle.com/programs/2023/organizations/gnutls
FLARE,Industry leading malware analysis,"python, ida-pro, Ghidra","emulation, disassembly, decompilation, malware-analysis, reverse-engineering",https://www.mandiant.com/,https://summerofcode.withgoogle.com/programs/2023/organizations/flare
OWASP Foundation,No more insecure software.,"python, javascript, java, ZAP, Juice Shop","web, cloud, application security, cybersecurity, DevSecOps",https://owasp.org,https://summerofcode.withgoogle.com/programs/2023/organizations/owasp-foundation
VideoLAN,Open Source Multimedia for everyone!,"c, c++, qt, assembly, video","audio, streaming, video, codecs, media database",https://www.videolan.org,https://summerofcode.withgoogle.com/programs/2023/organizations/videolan
GRAME,Domain specific language for audio,"c, python, javascript, c++, typescript","audio, compiler, digital signal processing, function programming language",https://faust.grame.fr,https://summerofcode.withgoogle.com/programs/2023/organizations/grame
The Honeynet Project,Honeypots and Threat Intelligence R&D,"python, javascript, django, go, docker","honeypots, malware analysis, Threat Intelligence",https://honeynet.org,https://summerofcode.withgoogle.com/programs/2023/organizations/the-honeynet-project
Creative Commons,Nonprofit building a global digital commons.,"python, javascript, php, css, wordpress","web, nonprofit, copyleft, creative commons, legal",https://opensource.creativecommons.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/creative-commons
CCExtractor Development,"TV, Rust, Flutter, Linux, VR and C. In any order.","c, linux, rust, flutter","vr, linux, video, subtitles, mobile",https://www.ccextractor.org,https://summerofcode.withgoogle.com/programs/2023/organizations/ccextractor-development
OpenAstronomy,Look at the Universe with the power of open source,"c, python, julia","image processing, astronomy, solar physics, high energy astrophysics",https://openastronomy.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/openastronomy
Genome Assembly and Annotation,Providing freely accessible genomic data,"python, mysql, docker, pytorch, nextflow","machine learning, genomics, big data, cloud, hpc",https://www.ebi.ac.uk/,https://summerofcode.withgoogle.com/programs/2023/organizations/genome-assembly-and-annotation
Society for Arts and Technology (SAT),Create teleimmersive multisensorial experiences.,"python, javascript, opengl, c++, supercollider","web, graphics, cloud, multimedia, accessibility",https://sat.qc.ca,https://summerofcode.withgoogle.com/programs/2023/organizations/society-for-arts-and-technology-sat
GNU Radio,The free & open software radio ecosystem,"python, c++, qt, simd","real-time, dsp, communications engineering, cybersecurity, Software-Defined Radio",https://www.gnuradio.org,https://summerofcode.withgoogle.com/programs/2023/organizations/gnu-radio
Internet Health Report,Monitoring the Internet,"python, javascript, apache kafka, VueJS","networking, routing, communication, internet, data analytics",https://ihr.iijlab.net,https://summerofcode.withgoogle.com/programs/2023/organizations/internet-health-report
National Resource for Network Biology (NRNB),Developing open source tools for network biology,"python, javascript, java, xml, r","web application, data science, graphics, scientific computing, network biology",https://nrnb.org/gsoc.html,https://summerofcode.withgoogle.com/programs/2023/organizations/national-resource-for-network-biology-nrnb
FFmpeg,"Record, convert and stream audio & video","c, git, asm","audio, video, subtitles, multimedia",https://ffmpeg.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/ffmpeg
Git,"Fast,Scalable,Distributed revision control system","shell script, git, c language","version control, dvcs",https://git-scm.com/,https://summerofcode.withgoogle.com/programs/2023/organizations/git
Liquid Galaxy project,We code immersive and interactive aps with G Earth,"python, linux, android, flutter, Google Earth","visualization, networking, maps, cluster, ux",https://www.liquidgalaxy.eu,https://summerofcode.withgoogle.com/programs/2023/organizations/liquid-galaxy-project
DBpedia,Global and Unified Access to Knowledge Graphs.,"python, javascript, java, scala, rdf","natural language processing, semantic web, linked data, knowledge graph, data extraction",https://www.dbpedia.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/dbpedia
Zulip,Modern team chat app designed for efficiency.,"python, django, css, typescript, electron","great developer tooling, visual design, teaching quality codebase, team chat, integrations",https://zulip.com/,https://summerofcode.withgoogle.com/programs/2023/organizations/zulip
AFLplusplus,State of the art fuzzing for better security,"llvm, rust, fuzzing, qemu","fuzzing, ci",https://aflplus.plus,https://summerofcode.withgoogle.com/programs/2023/organizations/aflplusplus
Cockpit Project,Cockpit is an interactive server admin interface,"python, javascript, react","operating systems, web, linux",https://cockpit-project.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/cockpit-project
BRL-CAD,3D CAD & other computer-aided tech (CAx),"python, c/c++, opengl, opencl, scripting","geometry, 2d/3d graphics, ray tracing, high-performance computing, conversion standards",https://opencax.github.io/,https://summerofcode.withgoogle.com/programs/2023/organizations/brl-cad
OpenWISP,The Hackable Network Management System,"python, javascript, django, lua, openwrt","networking, network management system, wifi, vpn, sdn",https://openwisp.org,https://summerofcode.withgoogle.com/programs/2023/organizations/openwisp
TARDIS RT Collaboration,Exploring supernovae made easy,"python, numba, numpy, jupyter, pandas","visualization, big data, simulation, astrophysics",https://tardis-sn.github.io,https://summerofcode.withgoogle.com/programs/2023/organizations/tardis-rt-collaboration
Apertium,A free/open-source machine translation platform,"python, javascript, c++, xml, bash","natural language processing, machine translation, language technology, less-resources languages",https://apertium.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/apertium
XMPP Standards Foundation,XSF develops an open-standard messaging protocol,"vala, xmpp, swift, dart, Objective C","instant messaging, chat, WebRTC, Jingle, Real-Time Communication",https://xmpp.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/xmpp-standards-foundation
RTEMS Project,A real-time operating system for Earth & Space,"python, c/c++, assembly, posix","kernel, embedded, real-time, multicore, rtos",https://www.rtems.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/rtems-project
Django Software Foundation,Web framework for perfectionists with deadlines,"python, django","web, python",https://www.djangoproject.com,https://summerofcode.withgoogle.com/programs/2023/organizations/django-software-foundation-8o
The Julia Language,A fresh approach to technical computing,"machine learning, julia, data science, gui, models","math, machine learning, science, data science, graphs",https://julialang.org,https://summerofcode.withgoogle.com/programs/2023/organizations/the-julia-language
