org_name,org_link,org_gsoc_link,project_details_link,technology,topics,project_details
Ste||ar group,http://stellar-group.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/stear-group,https://summerofcode.withgoogle.com/programs/2023/projects/eijAjjJ5,"llvm, c++, openmp, hpx","compiler, hpc, Multi-Threaded Programming","One of the challenges in adopting HPX is the performance degradation observed in applications that use OpenMP. This occurs because of the contention between HPX threads and OpenMP's native threading system (i.e., pthread) over available resources. hpxMP aims at resolving this issue by adding support for HPX threads as an alternative to pthreads in LLVM OpenMP. This work relies on the HPXC, which replicates pthread's API."
Ste||ar group,http://stellar-group.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/stear-group,https://summerofcode.withgoogle.com/programs/2023/projects/r66aQtl0,"c++, hpc","optimization, parallel algorithms, application","As computation becomes faster I/O starts becoming more and more important. The goal of the project is to utilise HPX facilities such as components and actions and futures to create an I/O library for asynchronous and distributed I/O. 

The library will enable an interface which will allow the user to send asynchronous or synchronous I/O requests to a cluster of compute nodes. This will also speedup I/O using several nodes to perform I/O parallely."
Ste||ar group,http://stellar-group.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/stear-group,https://summerofcode.withgoogle.com/programs/2023/projects/oMdz5jfO,"python, c++","parallel algorithms, vectorization",HPX parallel algorithms currently don't support the par_unseq execution policy. This project is centered around the idea to implement this execution policy for at least some of the existing algorithms (such as for_each and similar).
Ste||ar group,http://stellar-group.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/stear-group,https://summerofcode.withgoogle.com/programs/2023/projects/aAeBdZ1F,c++,Memory Optimization,"Modern C++ specifications and the HPX library offer a rich set of algorithms to ensure efficient resource utilization. Nevertheless, there is still room for improvement in data movement operations. Proposal P1144 introduces std::relocate, a feature designed to optimize data relocation by making it safer, faster, and greatly simpler. Essentially, std::relocate utilizes a single memcpy operation to move objects while avoiding unnecessary move-constructor and destructor calls. This improvement impacts key primitives like swap and vector.reserve, subsequently leading to speedup in higher-level algorithms such as rotate and sort. The goal of this proposal is to implement relocation in HPX."
Ste||ar group,http://stellar-group.org/,https://summerofcode.withgoogle.com/programs/2023/organizations/stear-group,https://summerofcode.withgoogle.com/programs/2023/projects/2gxWyLH7,"python, c++, Pybind11","HPX Integration with Python, Python-C++ Integration","Pycxxwrap is a versatile Python decorator used to wrap C++ code into Python using Pybind11. It serves as a wrapper around Pybind11, a lightweight, header-only library that facilitates the exchange of C++ types between Python and C++. The primary goal of this project is to provide a Pythonic interface for C++ libraries, simplifying their usage and enabling the creation of Python libraries from existing C++ ones. Additionally, Pycxxwrap includes special support for the HPX library, a C++ Standard Library for Concurrency and Parallelism, using custom header files."
MIT App Inventor,http://appinventor.mit.edu,https://summerofcode.withgoogle.com/programs/2023/organizations/mit-app-inventor,https://summerofcode.withgoogle.com/programs/2023/projects/j7UZETHS,"javascript, java, gwt, Android Development","web, android","The primary objective of this project is to enhance the user experience of MIT App Inventor by providing users with information about the availability of components on iOS or Android platforms. To achieve this, proposed changes will be made to the Designer editor code to enable users to determine whether a component is accessible on a particular platform or both. The coverage.json file will be utilized to extract information about the availability of components, which will be represented by iOS or Android icons displayed on the palette items and a text displaying if the component is exclusive to any of the platforms(Android or iOS) on palette Help Popup dialog box. Furthermore, a dialog box will inform users about unsupported components when they connect their devices through the AI companion. The proposed modifications will empower users to make informed decisions when creating their applications, resulting in higher-quality apps that cater to user needs and expectations."
MIT App Inventor,http://appinventor.mit.edu,https://summerofcode.withgoogle.com/programs/2023/organizations/mit-app-inventor,https://summerofcode.withgoogle.com/programs/2023/projects/njEu8xBZ,"java, gwt",web,"Currently, the properties for the screen1 form contains a number of project project-wide properties such as App Name, Theme and many more. We want these properties separated from the component and maintained on a separate dialog on the designer view."
MIT App Inventor,http://appinventor.mit.edu,https://summerofcode.withgoogle.com/programs/2023/organizations/mit-app-inventor,https://summerofcode.withgoogle.com/programs/2023/projects/Cu9JGL33,"javascript, java, gwt, Blockly",web,This GSOC project aims to integrate the Blockly work-space search plug into App Inventor and add App Inventor specific functions to it. Adding dropdown to select what filter to use and implementing these filters in JavaScript.
MIT App Inventor,http://appinventor.mit.edu,https://summerofcode.withgoogle.com/programs/2023/organizations/mit-app-inventor,https://summerofcode.withgoogle.com/programs/2023/projects/aeUHF4rI,swift,iOS development,"Develop iOS versions of Android components for MIT App Inventor
Implement the File component under Storage and ListView under User Interface for iOS.
Implement the UI (TabLayout, Snackbar, CircularProgress, and LinearProgressbar components) components for iOS.
Implement several sensor components for sensors supported by iOS
Implement Biometric Authentication feature.
Develop an iOS version of the Cardview component for Kodular."
MIT App Inventor,http://appinventor.mit.edu,https://summerofcode.withgoogle.com/programs/2023/organizations/mit-app-inventor,https://summerofcode.withgoogle.com/programs/2023/projects/PRXU1B2l,"javascript, java, gwt, swift",iOS development,"The project ""iOS versions of Android components"" aims to develop iOS counterparts of popular Android components that are widely used in mobile app development. The objective is to provide iOS developers with an easier transition between the two platforms, by providing iOS versions of Android components that they are already familiar with.

The project will involve identifying and analyzing popular Android components, understanding their functionality and behavior, and then developing their iOS counterparts using Apple's development tools and technologies such as Xcode and Swift.

The iOS versions of Android components will be designed to be compatible with the latest versions of iOS, including iOS 14 and higher. The components will be thoroughly tested to ensure compatibility and reliability across different devices and operating system versions. This project will be beneficial to developers who are familiar with Android development and are looking to transition to iOS development. It will also be useful for iOS developers who want to incorporate popular Android components into their iOS apps.

Overall, the project aims to improve the ease of transition between Android and iOS development, and ultimately enhance the user experience of mobile apps across both platforms."
